scenario	under5_pct	to90_s	cuts_10min	lost_10min	queue_p95_ms	over_cap_kb_10s	blip_recover_s	fairness_x1000	decisions_fnv1a
lan_10g	0	7	0	10	1	0	0	1000	301534a8
lan_1g	0	7	10	20	7	0	28	1000	e1a354a5
wifi_good	0	1	0	8	4	0	0	1000	c74cf3dd
wifi_tv	0	3	0	0	4	0	0	1000	ea6b71af
wan_wg_12	0	3	0	0	29	0	0	1000	b3d0ca72
lte_variable	64	3	43	2503	249	0	0	1000	6ad35a6a
shared_two_auto	1	3	0	0	27	0	0	1000	1d1aca25
shared_newcomer	0	1	0	0	35	0	0	782	f2f11c50
shared_fixed_plus_auto	47	1	24	380	97	3151	0	966	8f2d562a
gpu_saturated	0	3	38	0	5	0	0	1000	e85c3a0f
static_then_motion	0	1	0	0	5	0	0	1000	c74cf3dd
frame_driven_35fps	0	1	0	0	5	0	0	1000	3afa70c0
old_host	0	11	0	0	4	0	0	1000	dc842130
no_ramp	0	0	0	0	6	0	0	1000	7d8eaf70
slow_start_spent	0	1	2	2	5	0	10	1000	e36792be
wifi_tv_probe_damage	0	3	0	0	4	0	0	1000	ea6b71af
wifi_loss_heavy	75	99999	120	0	1	0	0	1000	44babe0e
wifi_loss_severe	76	99999	120	0	1	0	0	1000	5e50d09a
decoder_knee	0	3	15	0	3	0	0	1000	0a161eab
starved_client	73	1	86	23446	399	0	0	1000	2a49bf71
idle_then_motion	0	3	0	6	5	0	0	1000	ea6b71af
host_never_acks	0	99999	0	0	0	0	0	1000	366ba9c1
unknown_refresh	0	99999	35	0	1	0	0	1000	3a46bed2
wifi_tv_probe_stalled	0	3	0	0	4	0	0	1000	ea6b71af
decoder_headroom	0	3	12	0	4	0	0	1000	c5138ebd
encoder_stalled	0	3	0	0	5	0	0	1000	ea6b71af
unknown_refresh_knee	0	99999	35	0	1	0	0	1000	2a478f15
host_rebuild_stall	0	1	0	0	4	0	0	1000	c74cf3dd
host_rebuild_wave	0	1	0	0	4	0	0	1000	c74cf3dd
encoder_weak	0	4	0	0	5	0	0	1000	bf986cee
host_cadence_refusal	0	3	0	0	5	0	0	1000	ea6b71af
ramp_unanswered	0	18	15	1140	7	0	0	1000	6dba61ae
wifi_tv_legacy	0	20	0	0	3	0	0	1000	a510e60b
wifi_good_legacy	0	1	0	8	2	0	0	1000	811c9dc5
slow_start_spent_legacy	0	19	2	2	5	0	7	1000	1ef06aa8
gpu_saturated_legacy	0	9	27	0	4	0	0	1000	3e661c75
wan_wg_12_legacy	2	0	13	393	40	20186	0	1000	7be3047e
wifi_tv_probe_damage_legacy	0	20	0	0	3	0	0	1000	f419fe3f
wifi_tv_probe_stalled_legacy	0	20	0	0	3	0	0	1000	8e422cdf
host_rebuild_stall_legacy	0	1	15	0	2	0	0	1000	325d140c
decoder_knee_legacy	0	99999	12	0	3	0	0	1000	f43012d4
unknown_refresh_knee_legacy	0	99999	25	0	1	0	0	1000	af8cb644
idle_then_motion_legacy	0	11	6	6	4	0	31	1000	1777d4e9
